"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Município";"Ano"
"São Félix do Tocantins (TO)";"1610"
"São Miguel do Tocantins (TO)";"12445"
"São Salvador do Tocantins (TO)";"3106"
"São Sebastião do Tocantins (TO)";"4898"
"São Valério (TO)";"3848"
"Silvanópolis (TO)";"5452"
"Sítio Novo do Tocantins (TO)";"8965"
"Sucupira (TO)";"2007"
"Taguatinga (TO)";"16966"
"Taipas do Tocantins (TO)";"2183"
"Talismã (TO)";"2831"
"Palmas (TO)";"313349"
"Tocantínia (TO)";"7688"
"Tocantinópolis (TO)";"22820"
"Tupirama (TO)";"1952"
"Tupiratins (TO)";"2785"
"Wanderlândia (TO)";"11783"
"Xambioá (TO)";"11500"
"Açailândia (MA)";"113783"
"Afonso Cunha (MA)";"6631"
"Água Doce do Maranhão (MA)";"12731"
"Alcântara (MA)";"22126"
"Aldeias Altas (MA)";"26979"
"Altamira do Maranhão (MA)";"8250"
"Alto Alegre do Maranhão (MA)";"28066"
"Alto Alegre do Pindaré (MA)";"31967"
"Alto Parnaíba (MA)";"11233"
"Amapá do Maranhão (MA)";"7047"
"Amarante do Maranhão (MA)";"42017"
"Anajatuba (MA)";"27170"
"Anapurus (MA)";"16054"
"Apicum-Açu (MA)";"17582"
"Araguanã (MA)";"15675"
"Araioses (MA)";"47095"
"Arame (MA)";"32825"
"Arari (MA)";"30014"
"Axixá (MA)";"12234"
"Bacabal (MA)";"105094"
"Bacabeira (MA)";"17446"
"Bacuri (MA)";"18726"
"Bacurituba (MA)";"5696"
"Balsas (MA)";"96951"
"Barão de Grajaú (MA)";"19026"
"Barra do Corda (MA)";"88895"
"Barreirinhas (MA)";"63891"
"Belágua (MA)";"7586"
"Bela Vista do Maranhão (MA)";"11347"
"Benedito Leite (MA)";"5643"
"Bequimão (MA)";"21317"
"Bernardo do Mearim (MA)";"6102"
"Boa Vista do Gurupi (MA)";"8494"
"Bom Jardim (MA)";"42010"
"Bom Jesus das Selvas (MA)";"35095"
"Bom Lugar (MA)";"16578"
"Brejo (MA)";"36900"
"Brejo de Areia (MA)";"8841"
"Buriti (MA)";"28916"
"Buriti Bravo (MA)";"23993"
"Buriticupu (MA)";"73595"
"Buritirana (MA)";"15503"
"Cachoeira Grande (MA)";"9524"
"Cajapió (MA)";"11255"
"Cajari (MA)";"19521"
"Campestre do Maranhão (MA)";"14530"
"Cândido Mendes (MA)";"20376"
"Cantanhede (MA)";"22236"
"Capinzal do Norte (MA)";"10937"
"Carolina (MA)";"24151"
"Carutapera (MA)";"24095"
"Caxias (MA)";"166159"
"Cedral (MA)";"10711"
"Central do Maranhão (MA)";"8806"
"Centro do Guilherme (MA)";"13876"
"Centro Novo do Maranhão (MA)";"22056"
"Chapadinha (MA)";"80705"
"Cidelândia (MA)";"14855"
"Codó (MA)";"123368"
